Version;TopDUAsStatus;DUAMaxFdp;NodeMaxFdp;EdgeMaxFdp;topDUANodeSubsumption;topDUAEdgeSubsumption;
Closure-138b;clear;1.0;0.0;0.0;False;True;
Closure-139b;clear;1.0;0.0;0.0;True;True;
Closure-140b;clear;1.0;0.0;0.0;True;True;
Closure-141b;clear;1.0;0.0;0.0;True;True;
Closure-142b;clear;1.0;0.0;0.0;True;True;
Closure-144b;clear;1.0;0.0;0.0;True;True;
Closure-145b;clear;0.5;0.0;0.0;False;True;
Closure-146b;clear;1.0;0.0;0.0;False;True;
Closure-147b;clear;1.0;0.0;0.0;True;True;
Closure-148b;clear;1.0;0.0;0.0;True;True;
Closure-149b;clear;0.0435;0.0;0.0;False;True;
Closure-150b;clear;0.0833;0.0;0.0;False;True;
Closure-151b;clear;1.0;0.0;0.0;False;True;
Closure-152b;clear;1.0;0.0;0.0;True;True;
Closure-153b;clear;0.6667;0.0;0.0;True;True;
Closure-154b;clear;0.037;0.0;0.0;False;True;
Closure-155b;clear;1.0;0.0;0.0;True;True;
Closure-156b;clear;1.0;0.0;0.0;True;True;
Closure-157b;clear;1.0;0.0;0.0;True;True;
Closure-158b;clear;0.4;0.0;0.0;False;True;
Closure-159b;clear;1.0;0.0;0.0;True;True;
Closure-160b;clear;1.0;0.0;0.0;False;True;
Closure-161b;clear;1.0;0.0;0.0;False;False;
Closure-162b;clear;0.5;0.0;0.0;True;True;
Closure-163b;clear;1.0;0.0;0.0;True;True;
Closure-164b;clear;1.0;0.0;0.0;False;True;
Closure-165b;clear;0.3333;0.0;0.0;True;True;
Closure-166b;clear;0.0625;0.0;0.0;True;True;
Closure-167b;clear;0.25;0.0;0.0;True;True;
Closure-168b;clear;0.0714;0.0;0.0;False;True;
Closure-169b;clear;1.0;0.0;0.0;False;True;
Closure-170b;clear;1.0;0.0;0.0;True;True;
Closure-171b;clear;0.3333;0.0;0.0;True;True;
Closure-172b;clear;0.2;0.0;0.0;False;True;
Closure-173b;clear;1.0;0.0;0.0;True;True;
Closure-174b;clear;1.0;0.0;0.0;False;True;
Closure-175b;clear;0.3;0.0;0.0;True;True;
Closure-176b;clear;0.0105;0.0;0.0;False;True;
Codec-1b;clear;0.5;0.0;0.0;True;True;
Codec-2b;clear;0.6667;0.0;0.0;False;False;
Codec-3b;clear;0.5;0.0;0.0;True;True;
Codec-4b;clear;0.6667;0.0;0.0;True;True;
Codec-5b;clear;0.3333;0.0;0.0;True;True;
Codec-6b;clear;0.25;0.0;0.0;True;True;
Codec-7b;clear;0.25;0.0;0.0;True;True;
Codec-8b;clear;0.5;0.0;0.0;True;True;
Codec-9b;clear;0.5;0.0;0.0;True;True;
Codec-10b;clear;0.0909;0.0;0.0;True;True;
Codec-11b;clear;0.5;0.0;0.0;True;True;
Codec-12b;clear;1.0;0.0;0.0;False;False;
Codec-13b;clear;0.4;0.0;0.0;True;True;
Codec-14b;clear;0.2;0.0;0.0;True;True;
Codec-15b;clear;1.0;0.0;0.0;False;True;
Codec-16b;clear;1.0;0.0;0.0;True;True;
Codec-17b;clear;0.3333;0.0;0.0;True;True;
Codec-18b;clear;1.0;0.0;0.0;True;True;
Collections-25b;clear;1.0;0.0;0.0;True;True;
Collections-26b;clear;0.0077;0.0;0.0;True;True;
Collections-27b;clear;0.0161;0.0;0.0;True;True;
Collections-28b;clear;1.0;0.0;0.0;False;False;
Compress-1b;clear;1.0;0.0;0.0;True;True;
Compress-2b;clear;1.0;0.0;0.0;True;True;
Compress-3b;clear;1.0;0.0;0.0;True;True;
Compress-4b;clear;1.0;0.0;0.0;True;True;
Compress-5b;clear;1.0;0.0;0.0;True;True;
Compress-6b;clear;0.3333;0.0;0.0;True;True;
Compress-7b;clear;0.1;0.0;0.0;False;False;
Compress-8b;clear;1.0;0.0;0.0;False;False;
Compress-9b;clear;0.2;0.0;0.0;True;True;
Compress-10b;clear;1.0;0.0;0.0;True;True;
Compress-11b;clear;1.0;0.0;0.0;True;True;
Compress-12b;clear;0.5;0.0;0.0;True;True;
Compress-13b;clear;0.5;0.0;0.0;False;False;
Compress-14b;clear;0.5;0.0;0.0;False;False;
Compress-15b;clear;1.0;0.0;0.0;True;True;
Compress-16b;clear;1.0;0.0;0.0;True;True;
Compress-17b;clear;0.5;0.0;0.0;False;True;
Compress-18b;clear;1.0;0.0;0.0;True;True;
Compress-19b;clear;1.0;0.0;0.0;True;True;
Compress-20b;clear;1.0;0.0;0.0;True;True;
Compress-21b;clear;1.0;0.0;0.0;True;True;
Compress-22b;clear;1.0;0.0;0.0;True;True;
Compress-23b;clear;1.0;0.0;0.0;False;False;
Compress-24b;clear;1.0;0.0;0.0;True;True;
Compress-25b;clear;1.0;0.0;0.0;True;True;
Compress-26b;clear;0.2;0.0;0.0;True;True;
Compress-27b;clear;1.0;0.0;0.0;True;True;
Compress-28b;clear;1.0;0.0;0.0;True;True;
Compress-29b;clear;1.0;0.0;0.0;True;True;
Compress-30b;clear;1.0;0.0;0.0;True;True;
Compress-31b;clear;1.0;0.0;0.0;True;True;
Compress-32b;clear;0.5;0.0;0.0;False;True;
Compress-33b;clear;1.0;0.0;0.0;True;True;
Compress-34b;clear;0.3333;0.0;0.0;True;True;
Compress-35b;clear;0.3333;0.0;0.0;True;True;
Compress-36b;clear;1.0;0.0;0.0;True;True;
Compress-37b;clear;0.3333;0.0;0.0;True;True;
Compress-38b;clear;1.0;0.0;0.0;True;True;
Compress-39b;clear;0.3333;0.0;0.0;True;True;
Compress-40b;clear;0.2;0.0;0.0;True;True;
Compress-41b;clear;0.1429;0.0;0.0;True;True;
Compress-42b;clear;0.5;0.0;0.0;True;True;
Compress-43b;clear;0.3333;0.0;0.0;True;True;
Compress-45b;clear;1.0;0.0;0.0;True;True;
Compress-46b;clear;0.25;0.0;0.0;True;True;
Compress-47b;clear;0.3333;0.0;0.0;False;True;
Csv-1b;clear;0.5;0.0;0.0;False;True;
Csv-2b;clear;0.0222;0.0;0.0;True;True;
Csv-3b;clear;1.0;0.0;0.0;True;True;
Csv-4b;clear;0.027;0.0;0.0;True;True;
Csv-5b;clear;0.25;0.0;0.0;True;True;
Csv-6b;clear;0.3333;0.0;0.0;False;True;
Csv-7b;clear;0.1667;0.0;0.0;True;True;
Csv-8b;clear;1.0;0.0;0.0;True;True;
Csv-9b;clear;0.125;0.0;0.0;True;True;
Csv-10b;clear;0.2;0.0;0.0;True;True;
Csv-11b;clear;0.5;0.0;0.0;True;True;
Csv-12b;clear;0.5;0.0;0.0;False;True;
Csv-13b;clear;0.5;0.0;0.0;True;True;
Csv-14b;clear;0.5;0.0;0.0;False;True;
Csv-15b;clear;0.2;0.0;0.0;False;True;
Csv-16b;clear;0.5;0.0;0.0;False;True;
Gson-1b;clear;1.0;0.0;0.0;True;True;
Gson-2b;clear;0.0769;0.0;0.0;True;True;
Gson-3b;clear;0.5;0.0;0.0;True;True;
Gson-4b;clear;1.0;0.0;0.0;True;True;
Gson-5b;clear;1.0;0.0;0.0;True;True;
Gson-6b;clear;0.0085;0.0;0.0;True;True;
Gson-7b;clear;0.3333;0.0;0.0;True;True;
Gson-9b;clear;0.0323;0.0;0.0;True;True;
Gson-10b;clear;0.1667;0.0;0.0;True;True;
Gson-11b;clear;0.3333;0.0;0.0;True;True;
Gson-12b;clear;0.5;0.0;0.0;True;True;
Gson-13b;clear;0.25;0.0;0.0;False;False;
Gson-14b;clear;1.0;0.0;0.0;notclear;notclear;
Gson-15b;clear;0.5;0.0;0.0;True;True;
Gson-16b;clear;0.5;0.0;0.0;notclear;notclear;
Gson-17b;clear;1.0;0.0;0.0;True;True;
Gson-18b;clear;0.25;0.0;0.0;True;True;
JacksonCore-1b;clear;1.0;0.0;0.0;True;True;
JacksonCore-2b;clear;0.1429;0.0;0.0;True;True;
JacksonCore-3b;clear;0.5;0.0;0.0;True;True;
JacksonCore-4b;clear;1.0;0.0;0.0;True;True;
JacksonCore-6b;clear;0.5;0.0;0.0;True;True;
JacksonCore-7b;clear;0.3333;0.0;0.0;True;True;
JacksonCore-8b;clear;0.02;0.0;0.0;True;True;
JacksonCore-9b;clear;1.0;0.0;0.0;True;True;
JacksonCore-10b;clear;1.0;0.0;0.0;True;True;
JacksonCore-11b;clear;1.0;0.0;0.0;True;True;
JacksonCore-12b;clear;0.5;0.0;0.0;True;True;
JacksonCore-13b;clear;1.0;0.0;0.0;True;True;
JacksonCore-14b;clear;1.0;0.0;0.0;True;True;
JacksonCore-15b;clear;0.3333;0.0;0.0;False;True;
JacksonCore-16b;clear;0.5;0.0;0.0;True;True;
JacksonCore-17b;clear;0.3333;0.0;0.0;True;True;
JacksonCore-18b;clear;1.0;0.0;0.0;True;True;
JacksonCore-20b;clear;0.0308;0.0;0.0;True;True;
JacksonCore-21b;clear;1.0;0.0;0.0;True;True;
JacksonCore-22b;clear;1.0;0.0;0.0;True;True;
JacksonCore-24b;clear;1.0;0.0;0.0;True;True;
JacksonCore-26b;clear;0.0263;0.0;0.0;True;True;
JacksonDatabind-1b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-2b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-3b;notclear;0.5;0.0;0.0;False;False;
JacksonDatabind-4b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-5b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-6b;clear;1.0;0.0;0.0;False;True;
JacksonDatabind-7b;clear;0.25;0.0;0.0;True;True;
JacksonDatabind-8b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-9b;clear;0.125;0.0;0.0;True;True;
JacksonDatabind-10b;clear;0.2;0.0;0.0;False;True;
JacksonDatabind-11b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-12b;clear;0.25;0.0;0.0;True;True;
JacksonDatabind-13b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-14b;clear;1.0;0.0;0.0;False;True;
JacksonDatabind-15b;clear;0.3333;0.0;0.0;True;True;
JacksonDatabind-16b;clear;1.0;0.0;0.0;False;True;
JacksonDatabind-17b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-18b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-19b;clear;0.1667;0.0;0.0;False;True;
JacksonDatabind-20b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-21b;clear;0.25;0.0;0.0;True;True;
JacksonDatabind-22b;clear;0.25;0.0;0.0;False;True;
JacksonDatabind-23b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-24b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-25b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-26b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-27b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-28b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-29b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-30b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-31b;clear;0.0147;0.0;0.0;True;True;
JacksonDatabind-32b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-33b;notclear;0.1429;0.0;0.0;False;False;
JacksonDatabind-34b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-35b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-36b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-37b;clear;0.1429;0.0;0.0;True;True;
JacksonDatabind-38b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-39b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-40b;clear;0.25;0.0;0.0;True;True;
JacksonDatabind-41b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-42b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-43b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-46b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-47b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-48b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-49b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-50b;clear;1.0;0.0;0.0;notclear;True;
JacksonDatabind-51b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-52b;clear;0.5;0.0;0.0;False;False;
JacksonDatabind-53b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-54b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-55b;clear;0.1111;0.0;0.0;True;True;
JacksonDatabind-56b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-57b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-58b;clear;0.0588;0.0;0.0;True;True;
JacksonDatabind-59b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-60b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-61b;notclear;1.0;0.0;0.0;notclear;notclear;
JacksonDatabind-62b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-63b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-64b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-65b;clear;0.5;0.0;0.0;False;False;
JacksonDatabind-66b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-67b;clear;1.0;0.0;0.0;False;False;
JacksonDatabind-68b;clear;1.0;0.0;0.0;False;True;
JacksonDatabind-69b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-70b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-71b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-72b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-73b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-74b;clear;0.3333;0.0;0.0;False;True;
JacksonDatabind-75b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-76b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-77b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-78b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-79b;clear;0.25;0.0;0.0;True;True;
JacksonDatabind-80b;clear;0.0625;0.0;0.0;False;True;
JacksonDatabind-81b;clear;0.5;0.0;0.0;True;True;
